geo_value,time_value,change_health,hospital_admit,doc_visits,ground_truth,ground_truth+1,change_health-1,hospital_admit-1,doc_visits-1
06103,2020-03-02,0.083484,0.17915015384615382,0.10891543589743588,0.0,0.0,0.082244,0.19280300000000003,0.09368069230769231
06105,2020-03-02,0.193798,0.17915015384615382,0.10891543589743588,0.0,0.0,0.19305,0.19280300000000003,0.09368069230769231
06107,2020-03-02,0.037008,0.17915015384615382,0.0,0.0,0.0,0.033288,0.19280300000000003,0.0
06109,2020-03-02,0.082887,0.17915015384615382,0.10891543589743588,0.0,0.0,0.083453,0.19280300000000003,0.09368069230769231
06111,2020-03-02,0.043019,0.17915015384615382,0.0,0.0,0.0,0.038493,0.472665,0.0
06113,2020-03-02,0.067865,0.17915015384615382,0.0,0.0,0.0,0.065848,0.19280300000000003,0.0
06115,2020-03-02,0.09024,0.17915015384615382,0.10891543589743588,0.0,0.0,0.089165,0.19280300000000003,0.09368069230769231
06001,2020-03-03,0.012357,0.119366,0.0,1.0,0.0,0.013988,0.119067,0.0
06003,2020-03-03,0.07641947272727273,0.1979663076923077,0.11202643589743591,0.0,0.0,0.07944778181818182,0.17915015384615382,0.10891543589743588
06005,2020-03-03,0.128337,0.1979663076923077,0.0,0.0,0.0,0.129362,0.17915015384615382,0.0
06007,2020-03-03,0.050301,0.1979663076923077,0.0,0.0,0.0,0.049212,0.17915015384615382,0.0
06009,2020-03-03,0.374708,0.1979663076923077,0.11202643589743591,0.0,0.0,0.36717,0.17915015384615382,0.10891543589743588
06011,2020-03-03,0.285432,0.1979663076923077,0.0,0.0,0.0,0.287172,0.17915015384615382,0.0
06013,2020-03-03,0.020528,0.125332,0.0,0.0,1.0,0.014189,0.123715,0.0
06015,2020-03-03,0.09542,0.1979663076923077,0.11202643589743591,0.0,0.0,0.099404,0.17915015384615382,0.10891543589743588
06017,2020-03-03,0.037632,0.1979663076923077,0.186857,0.0,0.0,0.037344,0.17915015384615382,0.324427
06019,2020-03-03,0.01434,0.1979663076923077,0.0,0.0,0.0,0.015947,0.17915015384615382,0.0
06021,2020-03-03,0.138055,0.1979663076923077,0.11202643589743591,0.0,0.0,0.138492,0.17915015384615382,0.10891543589743588
06023,2020-03-03,0.042812,0.1979663076923077,0.0,0.0,0.0,0.041015,0.17915015384615382,0.0
06025,2020-03-03,0.044031,0.1979663076923077,0.0,0.0,0.0,0.047465,0.17915015384615382,0.0
06027,2020-03-03,0.099253,0.1979663076923077,0.11202643589743591,0.0,0.0,0.101854,0.17915015384615382,0.10891543589743588
06029,2020-03-03,0.007849,0.490785,0.0,0.0,0.0,0.009157,0.41955,0.0
06031,2020-03-03,0.074212,0.1979663076923077,0.0,0.0,0.0,0.06892,0.17915015384615382,0.0
06033,2020-03-03,0.079414,0.1979663076923077,0.11202643589743591,0.0,0.0,0.080391,0.17915015384615382,0.10891543589743588
06035,2020-03-03,0.122783,0.1979663076923077,0.11202643589743591,0.0,0.0,0.125007,0.17915015384615382,0.10891543589743588
06037,2020-03-03,0.002836,0.191939,0.10769,0.0,6.0,0.002131,0.081393,0.110506
